account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,subscription_count,avg_mrr,total_estimated_revenue,max_tenure_days,latest_plan_tier,latest_billing_frequency,latest_auto_renew_flag,had_upgrade,had_downgrade,subscription_churn_flag,ticket_count,avg_resolution_time_hours,avg_first_response_minutes,avg_satisfaction_score,escalation_rate,high_priority_ticket_count,total_usage_events,total_usage_count,total_usage_duration_secs,active_days,feature_diversity,total_errors,beta_feature_usage_rate,last_usage_date,days_since_last_activity,churn_event_flag,churn_event_count,latest_churn_date,churn_reason,total_refund_amount,had_reactivation,final_churn_flag,tickets_per_month,revenue_per_day,error_rate,engagement_score,engagement_segment
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,19,1714.2631578947369,66947.06666666667,96,Pro,annual,False,True,True,True,3.0,32.666666666666664,80.66666666666667,5.0,0.0,1.0,101,1053,326283,92,38,55,0.12871287128712872,2024-12-30,1,1.0,1.0,2024-10-04,support,22.66,False,1,0.9375,697.3652777777778,0.052231718898385564,0.997,High Engagement
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,10,4324.7,44389.63333333333,52,Basic,monthly,True,True,False,False,2.0,20.5,125.5,5.0,0.0,2.0,55,562,150186,54,29,22,0.09090909090909091,2024-11-21,40,0.0,0.0,,not_churned,0.0,,0,1.1538461538461537,853.6467948717948,0.03914590747330961,0.6006666666666667,Medium Engagement
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,12,1353.5,103503.06666666667,611,Enterprise,annual,True,True,False,True,3.0,40.333333333333336,68.33333333333333,5.0,0.3333333333333333,2.0,64,670,217275,63,30,30,0.15625,2024-12-30,1,0.0,0.0,,not_churned,0.0,,1,0.14729950900163666,169.39945444626295,0.04477611940298507,0.7593333333333333,High Engagement
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,12,1952.6666666666667,169051.76666666666,322,Pro,annual,True,True,True,True,4.0,26.75,95.0,4.0,0.0,3.0,69,642,159561,64,34,26,0.11594202898550725,2024-12-16,15,1.0,1.0,2024-05-17,competitor,0.0,False,1,0.3726708074534162,525.005486542443,0.040498442367601244,0.8466666666666667,High Engagement
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,13,2262.076923076923,16513.76666666667,30,Enterprise,annual,True,False,True,True,2.0,50.5,118.0,3.0,0.0,1.0,70,658,173232,67,32,49,0.11428571428571428,2024-12-24,7,1.0,2.0,2024-12-30,unknown,0.0,True,1,2.0,550.458888888889,0.07446808510638298,0.8216666666666667,High Engagement
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,8,3468.25,300881.4666666666,461,Basic,annual,True,True,False,True,2.0,24.5,30.5,4.0,0.0,1.0,54,531,170826,54,31,42,0.12962962962962962,2024-12-18,13,1.0,2.0,2024-10-01,competitor,128.79,False,1,0.1301518438177874,652.67129428778,0.07909604519774012,0.6286666666666667,Medium Engagement
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,False,7,1895.142857142857,3785.8999999999996,22,Pro,annual,True,False,False,False,6.0,50.166666666666664,94.83333333333333,4.25,0.16666666666666666,2.0,37,367,106259,36,25,13,0.08108108108108109,2024-12-27,4,1.0,1.0,2024-12-30,features,0.0,True,1,8.181818181818182,172.08636363636361,0.035422343324250684,0.24966666666666668,Low Engagement
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,6,1976.3333333333333,77332.53333333333,495,Pro,annual,True,False,False,False,6.0,41.666666666666664,79.16666666666667,3.5,0.0,2.0,46,494,133559,45,29,19,0.13043478260869565,2024-12-31,0,0.0,0.0,,not_churned,0.0,,0,0.36363636363636365,156.22734006734007,0.038461538461538464,0.48933333333333334,Medium Engagement
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,9,1627.3333333333333,62199.6,630,Enterprise,monthly,True,False,True,False,5.0,36.0,59.0,3.6,0.0,1.0,43,427,137244,41,28,18,0.20930232558139536,2024-12-11,20,0.0,0.0,,not_churned,0.0,,1,0.23809523809523808,98.72952380952381,0.04215456674473068,0.38333333333333336,Medium Engagement
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,8,1162.375,54710.066666666666,364,Enterprise,annual,False,True,False,False,3.0,26.0,108.66666666666667,4.0,0.3333333333333333,1.0,49,511,157711,46,31,25,0.12244897959183673,2024-12-23,8,1.0,2.0,2024-09-15,pricing,0.0,False,1,0.24725274725274726,150.30238095238096,0.04892367906066536,0.5546666666666668,Medium Engagement
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,14,846.0,52793.23333333334,261,Basic,annual,True,True,True,True,4.0,14.25,97.75,4.666666666666667,0.25,1.0,66,653,191849,65,34,44,0.22727272727272727,2024-12-08,23,1.0,2.0,2024-07-03,unknown,0.0,True,1,0.4597701149425288,202.27292464878673,0.06738131699846861,0.8556666666666667,High Engagement
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,False,8,646.875,12616.766666666666,156,Basic,monthly,True,True,True,True,9.0,31.333333333333332,81.88888888888889,4.0,0.1111111111111111,4.0,35,337,98383,33,24,20,0.14285714285714285,2024-10-30,62,0.0,0.0,,not_churned,0.0,,1,1.7307692307692306,80.8767094017094,0.05934718100890208,0.19999999999999998,Low Engagement
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,14,2603.214285714286,41328.13333333333,130,Enterprise,annual,True,True,False,True,3.0,31.333333333333332,76.66666666666667,3.3333333333333335,0.0,1.0,69,687,208387,68,32,37,0.11594202898550725,2024-11-24,37,1.0,2.0,2024-10-11,budget,35.48,True,1,0.6923076923076924,317.90871794871794,0.053857350800582245,0.8436666666666667,High Engagement
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,8,9492.25,517287.13333333336,221,Basic,annual,True,False,False,False,3.0,57.666666666666664,108.33333333333333,4.0,0.0,0.0,42,402,127433,41,28,22,0.23809523809523808,2024-12-22,9,1.0,1.0,2024-09-01,features,0.0,False,1,0.4072398190045249,2340.6657616892912,0.05472636815920398,0.36733333333333335,Medium Engagement
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,7,516.1428571428571,6355.866666666667,80,Pro,annual,True,False,True,False,0.0,0.0,0.0,,0.0,0.0,32,324,98113,30,23,20,0.0625,2024-12-19,12,1.0,2.0,2024-12-09,unknown,136.94,False,1,0.0,79.44833333333334,0.06172839506172839,0.16766666666666666,Low Engagement
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,9,1129.111111111111,44823.933333333334,532,Enterprise,annual,True,True,False,True,5.0,34.0,59.6,4.5,0.0,3.0,47,488,150708,44,27,19,0.0425531914893617,2024-12-25,6,1.0,3.0,2024-04-28,competitor,0.0,False,1,0.2819548872180451,84.25551378446116,0.0389344262295082,0.42300000000000004,Medium Engagement
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,9,1569.0,60961.533333333326,472,Pro,annual,True,False,True,False,2.0,33.0,120.5,,0.0,2.0,58,602,171366,57,30,31,0.1206896551724138,2024-12-24,7,0.0,0.0,,not_churned,0.0,,0,0.1271186440677966,129.15579096045195,0.05149501661129568,0.6773333333333333,High Engagement
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,16,2027.0625,222783.26666666666,577,Enterprise,monthly,True,True,False,True,4.0,49.75,119.0,5.0,0.0,3.0,72,791,237055,70,29,37,0.09722222222222222,2024-12-29,2,0.0,0.0,,not_churned,0.0,,1,0.20797227036395147,386.1061813980358,0.04677623261694058,0.8039999999999999,High Engagement
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,10,4209.6,370766.63333333336,371,Basic,monthly,True,False,False,True,4.0,34.0,126.5,4.0,0.0,2.0,53,538,185729,51,27,44,0.11320754716981132,2024-12-19,12,1.0,1.0,2024-07-22,unknown,0.0,False,1,0.32345013477088946,999.3709793351303,0.08178438661710037,0.5123333333333334,Medium Engagement
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,False,7,1581.2857142857142,71263.40000000001,340,Enterprise,monthly,True,True,False,False,2.0,61.5,27.0,3.5,0.0,0.0,33,329,105214,32,22,12,0.15151515151515152,2024-09-23,99,1.0,1.0,2024-03-04,features,0.0,False,1,0.1764705882352941,209.59823529411767,0.0364741641337386,0.167,Low Engagement
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,10,1023.6,21317.8,90,Pro,monthly,False,True,True,False,5.0,24.8,102.8,4.0,0.2,4.0,55,540,175427,54,29,23,0.09090909090909091,2024-12-25,6,1.0,1.0,2024-11-30,features,0.0,False,1,1.6666666666666667,236.86444444444444,0.04259259259259259,0.5883333333333334,Medium Engagement
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,7,1173.7142857142858,51066.666666666664,315,Enterprise,monthly,True,True,True,True,5.0,45.4,91.8,3.6666666666666665,0.0,0.0,39,424,124978,39,21,30,0.05128205128205128,2024-12-24,7,0.0,0.0,,not_churned,0.0,,1,0.47619047619047616,162.1164021164021,0.07075471698113207,0.25933333333333336,Low Engagement
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,11,1983.7272727272727,57615.899999999994,183,Enterprise,monthly,True,False,False,False,3.0,43.0,84.0,3.0,0.0,1.0,63,651,186929,61,34,32,0.1111111111111111,2024-12-30,1,1.0,2.0,2024-09-01,features,228.75,False,1,0.49180327868852464,314.84098360655736,0.04915514592933948,0.8336666666666668,High Engagement
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,12,1438.3333333333333,169214.9,512,Basic,monthly,True,True,False,True,6.0,23.666666666666668,90.16666666666667,4.0,0.0,2.0,64,693,200177,60,32,27,0.078125,2024-12-26,5,1.0,1.0,2023-07-12,features,0.0,False,1,0.3515625,330.4978515625,0.03896103896103896,0.805,High Engagement
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,7,1113.857142857143,101763.03333333333,568,Pro,monthly,True,True,False,False,1.0,27.0,49.0,4.0,0.0,1.0,37,385,125675,37,29,11,0.16216216216216217,2024-12-24,7,1.0,1.0,2023-10-04,unknown,0.0,True,1,0.0528169014084507,179.16026995305162,0.02857142857142857,0.36033333333333334,Medium Engagement
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,4,114.0,2994.4,197,Enterprise,annual,True,False,False,False,7.0,40.857142857142854,76.14285714285714,4.6,0.0,4.0,24,248,81119,24,16,13,0.125,2024-10-09,83,1.0,1.0,2024-11-29,unknown,98.48,False,1,1.0659898477157361,15.200000000000001,0.05241935483870968,0.069,Low Engagement
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,9,1265.7777777777778,103698.7,583,Basic,annual,True,False,False,True,8.0,30.75,82.5,4.25,0.125,6.0,39,376,127515,39,27,31,0.07692307692307693,2024-12-14,17,0.0,0.0,,not_churned,0.0,,1,0.411663807890223,177.87084048027444,0.08244680851063829,0.31433333333333335,Low Engagement
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False,12,1677.5833333333333,91776.93333333333,172,Basic,annual,True,True,True,True,4.0,64.0,110.0,4.0,0.0,3.0,71,733,222582,68,35,53,0.056338028169014086,2024-12-25,6,1.0,1.0,2024-11-12,pricing,0.0,False,1,0.6976744186046512,533.5868217054264,0.0723055934515689,0.919,High Engagement
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,False,6,2459.8333333333335,6359.466666666666,22,Pro,annual,True,False,False,True,5.0,44.2,100.8,4.8,0.0,2.0,24,248,73517,24,17,10,0.16666666666666666,2024-12-15,16,1.0,1.0,2024-12-24,support,8.47,False,1,6.818181818181818,289.06666666666666,0.04032258064516129,0.07466666666666667,Low Engagement
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,11,797.3636363636364,8814.466666666667,64,Pro,monthly,True,False,True,True,5.0,27.2,109.4,4.0,0.0,3.0,62,647,195598,58,33,33,0.06451612903225806,2024-12-20,11,0.0,0.0,,not_churned,0.0,,1,2.34375,137.72604166666667,0.05100463678516229,0.7920000000000001,High Engagement
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,12,4259.083333333333,434024.3333333333,569,Pro,annual,True,True,False,False,4.0,20.0,108.5,4.0,0.0,2.0,67,706,207116,62,32,46,0.13432835820895522,2024-12-30,1,1.0,2.0,2024-11-25,features,72.19,False,1,0.210896309314587,762.784417106034,0.06515580736543909,0.824,High Engagement
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,False,7,509.2857142857143,3170.0333333333338,127,Enterprise,annual,True,True,False,True,3.0,40.333333333333336,136.33333333333334,4.333333333333333,0.0,3.0,46,493,146301,45,26,31,0.10869565217391304,2024-11-18,43,0.0,0.0,,not_churned,0.0,,1,0.7086614173228346,24.960892388451448,0.06288032454361055,0.4143333333333334,Medium Engagement
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,15,2634.4,447323.6,645,Enterprise,monthly,False,True,False,False,1.0,36.0,135.0,3.0,0.0,0.0,77,734,227186,74,34,38,0.06493506493506493,2024-12-21,10,0.0,0.0,,not_churned,0.0,,1,0.046511627906976744,693.5249612403101,0.051771117166212535,0.922,High Engagement
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,13,2491.846153846154,391911.73333333334,531,Pro,monthly,True,True,False,True,2.0,12.0,78.0,4.5,0.0,1.0,67,666,215735,62,33,31,0.07462686567164178,2024-12-07,24,1.0,2.0,2024-08-15,competitor,99.1,True,1,0.11299435028248588,738.0635279347143,0.046546546546546545,0.8286666666666666,High Engagement
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,False,13,1497.3076923076924,56812.066666666666,152,Basic,monthly,True,True,False,True,3.0,42.666666666666664,111.33333333333333,3.5,0.0,1.0,66,672,210327,64,28,36,0.06060606060606061,2024-12-31,0,1.0,1.0,2024-10-20,unknown,0.0,False,1,0.5921052631578948,373.76359649122804,0.05357142857142857,0.713,High Engagement
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,False,10,2907.1,94606.96666666666,245,Enterprise,annual,True,True,False,False,3.0,26.333333333333332,82.0,5.0,0.0,2.0,47,465,127997,46,29,19,0.14893617021276595,2024-12-07,24,1.0,1.0,2024-05-07,pricing,0.0,False,1,0.3673469387755102,386.15088435374145,0.04086021505376344,0.47666666666666674,Medium Engagement
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,False,11,944.9090909090909,151294.9,541,Pro,annual,True,True,True,True,2.0,18.5,141.0,4.5,0.5,0.0,59,597,172764,59,27,31,0.05084745762711865,2024-12-24,7,1.0,1.0,2024-07-19,budget,0.0,False,1,0.11090573012939,279.6578558225508,0.051926298157453935,0.6096666666666667,Medium Engagement
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,False,False,15,2547.3333333333335,174645.93333333332,264,Basic,annual,True,True,True,True,5.0,22.4,67.4,4.333333333333333,0.0,2.0,70,693,203946,66,33,27,0.08571428571428572,2024-12-15,16,1.0,1.0,2024-03-22,budget,6.26,False,1,0.5681818181818181,661.5376262626262,0.03896103896103896,0.8603333333333333,High Engagement
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,True,False,12,1706.25,7080.2,60,Enterprise,monthly,False,False,False,True,4.0,42.25,83.0,3.6666666666666665,0.0,2.0,48,489,131835,47,28,21,0.0625,2024-12-07,24,1.0,1.0,2024-12-17,support,0.0,False,1,2.0,118.00333333333333,0.04294478527607362,0.47300000000000003,Medium Engagement
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,False,13,1821.2307692307693,133522.26666666666,458,Enterprise,annual,True,True,True,False,5.0,27.4,46.6,4.0,0.0,2.0,52,523,177958,48,27,24,0.09615384615384616,2024-12-21,10,1.0,3.0,2024-08-30,unknown,113.17,False,1,0.32751091703056767,291.5333333333333,0.045889101338432124,0.48233333333333334,Medium Engagement
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,12,1590.6666666666667,109104.86666666667,273,Basic,annual,True,True,True,False,2.0,42.0,38.0,3.0,0.0,2.0,73,696,236693,72,34,60,0.0684931506849315,2024-12-08,23,1.0,3.0,2024-06-27,budget,0.0,True,1,0.21978021978021978,399.65152625152626,0.08620689655172414,0.9053333333333334,High Engagement
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Basic,13,False,False,16,1999.3125,96001.63333333333,270,Enterprise,monthly,True,True,True,True,3.0,47.333333333333336,87.66666666666667,5.0,0.0,2.0,77,746,204124,73,33,63,0.09090909090909091,2024-12-03,28,1.0,1.0,2024-05-02,budget,0.0,False,1,0.3333333333333333,355.5616049382716,0.08445040214477212,0.9043333333333333,High Engagement
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,False,11,2400.909090909091,188848.73333333334,437,Pro,monthly,True,True,False,False,6.0,23.333333333333332,100.5,4.0,0.0,2.0,53,514,169854,51,32,34,0.09433962264150944,2024-12-27,4,1.0,1.0,2024-08-21,support,0.0,False,1,0.41189931350114417,432.1481311975591,0.06614785992217899,0.6243333333333334,Medium Engagement
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,False,False,8,3223.75,185058.0,380,Basic,monthly,False,True,True,True,3.0,50.333333333333336,93.66666666666667,4.0,0.0,2.0,39,375,127687,39,24,30,0.10256410256410256,2024-12-23,8,1.0,2.0,2024-06-06,features,0.0,False,1,0.2368421052631579,486.9947368421053,0.08,0.2613333333333333,Low Engagement
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,8,562.25,67767.66666666667,637,Basic,annual,True,True,False,True,2.0,34.5,61.5,3.5,0.0,0.0,41,418,115325,38,26,22,0.14634146341463414,2024-12-14,17,1.0,3.0,2024-07-19,budget,7.58,True,1,0.09419152276295133,106.38566195709053,0.05263157894736842,0.3116666666666667,Low Engagement
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,False,True,16,3003.75,230869.19999999998,289,Pro,annual,True,True,False,True,3.0,48.333333333333336,43.0,3.5,0.0,2.0,81,818,271358,76,37,27,0.12345679012345678,2024-12-29,2,0.0,0.0,,not_churned,0.0,,1,0.31141868512110726,798.8553633217992,0.03300733496332518,0.9620000000000001,High Engagement
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False,8,1166.5,91271.26666666666,413,Basic,annual,False,True,False,True,3.0,42.666666666666664,75.33333333333333,,0.0,0.0,38,399,110456,35,27,12,0.07894736842105263,2024-12-13,18,1.0,1.0,2023-07-21,competitor,0.0,True,1,0.2179176755447942,220.9958030669895,0.03007518796992481,0.29733333333333334,Low Engagement
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,1,False,False,17,1525.1764705882354,95406.36666666667,162,Basic,annual,False,True,True,True,4.0,35.25,37.25,4.333333333333333,0.0,2.0,88,924,261489,87,38,59,0.14772727272727273,2024-12-31,0,0.0,0.0,,not_churned,0.0,,1,0.7407407407407407,588.9281893004115,0.06385281385281386,0.993,High Engagement
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Basic,20,False,False,13,2414.6153846153848,89453.3,115,Basic,monthly,False,True,True,False,2.0,15.0,98.5,4.0,0.0,0.0,51,477,148106,48,28,25,0.09803921568627451,2024-12-15,16,1.0,1.0,2024-09-05,budget,0.0,False,1,0.5217391304347826,777.8547826086957,0.05241090146750524,0.47400000000000003,Medium Engagement
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,True,9,1046.6666666666667,97311.7,557,Basic,annual,True,True,True,True,3.0,37.0,69.66666666666667,4.0,0.0,1.0,39,439,120226,38,25,17,0.07692307692307693,2024-12-25,6,1.0,1.0,2024-10-03,support,0.0,False,1,0.1615798922800718,174.7068222621185,0.0387243735763098,0.3096666666666667,Low Engagement
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Pro,8,True,False,12,1009.6666666666666,25052.9,112,Pro,annual,True,True,True,True,6.0,28.5,78.83333333333333,4.5,0.0,1.0,58,565,187525,55,33,38,0.08620689655172414,2024-12-31,0,1.0,1.0,2024-10-12,pricing,0.0,False,1,1.6071428571428572,223.68660714285716,0.06725663716814159,0.7133333333333333,High Engagement
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,False,False,12,1889.4166666666667,251472.13333333333,577,Basic,monthly,True,True,False,True,6.0,26.833333333333332,80.5,3.5,0.0,4.0,48,464,150051,46,29,25,0.10416666666666667,2024-12-19,12,1.0,1.0,2024-04-12,competitor,0.0,False,1,0.3119584055459272,435.8269208549971,0.05387931034482758,0.4753333333333334,Medium Engagement
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,False,False,5,699.6,8855.0,95,Basic,annual,True,False,False,True,4.0,17.0,65.25,3.75,0.0,1.0,29,295,102452,27,18,22,0.10344827586206896,2024-12-14,17,1.0,3.0,2024-12-04,support,113.84,True,1,1.2631578947368423,93.21052631578948,0.07457627118644068,0.10099999999999999,Low Engagement
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,False,13,2498.230769230769,84599.53333333333,185,Enterprise,monthly,True,False,False,True,5.0,30.2,102.6,5.0,0.0,3.0,70,729,220382,69,33,45,0.11428571428571428,2024-12-25,6,0.0,0.0,,not_churned,0.0,,1,0.8108108108108107,457.29477477477474,0.06172839506172839,0.891,High Engagement
A-7e0a10,Company_64,FinTech,US,2023-11-18,ads,Enterprise,46,False,False,10,4111.6,282036.4666666667,398,Enterprise,annual,True,True,False,False,5.0,39.4,62.6,4.0,0.0,5.0,50,511,173162,49,34,35,0.1,2024-12-14,17,1.0,1.0,2024-09-26,budget,0.0,False,1,0.37688442211055273,708.634338358459,0.0684931506849315,0.6536666666666667,Medium Engagement
A-118d55,Company_65,Cybersecurity,US,2024-10-22,organic,Basic,8,False,False,12,1993.25,23564.4,66,Enterprise,monthly,True,True,True,True,5.0,24.2,56.8,4.333333333333333,0.0,1.0,60,599,168143,55,29,33,0.08333333333333333,2024-12-30,1,1.0,2.0,2024-12-27,pricing,0.0,False,1,2.2727272727272725,357.03636363636366,0.05509181969949917,0.6346666666666666,Medium Engagement
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,False,9,4355.666666666667,201263.1,256,Enterprise,annual,False,True,False,True,5.0,51.4,134.6,3.5,0.2,3.0,56,565,159213,55,28,45,0.08928571428571429,2024-12-22,9,1.0,3.0,2024-09-25,support,41.17,False,1,0.5859375,786.183984375,0.07964601769911504,0.5853333333333334,Medium Engagement
